0.000	31.77	16.97	1113.02	0.37	1.86	-0.16	
0.001	32.38	16.80	1113.20	0.37	1.85	-0.16	
0.002	32.30	16.40	1113.73	0.36	1.85	-0.16	
0.003	32.47	15.96	1113.02	0.36	1.85	-0.16	
0.004	34.41	15.43	1113.20	0.36	1.85	-0.16	
0.005	34.50	15.43	1113.55	0.35	1.85	-0.16	
0.006	34.50	15.43	1114.25	0.35	1.85	-0.16	
0.007	34.76	15.30	1113.02	0.35	1.85	-0.16	
0.008	34.76	14.33	1113.73	0.35	1.84	-0.16	
0.009	35.82	14.02	1113.55	0.34	1.84	-0.16	
0.010	36.17	14.33	1113.20	0.34	1.84	-0.16	
0.011	36.26	14.55	1114.08	0.34	1.84	-0.16	
0.012	37.13	13.76	1113.55	0.33	1.84	-0.15	
0.013	37.31	14.33	1113.73	0.33	1.84	-0.15	
0.014	37.13	13.53	1114.25	0.33	1.84	-0.15	
0.015	38.10	13.93	1114.43	0.33	1.84	-0.15	
0.016	38.54	13.49	1113.55	0.32	1.84	-0.16	
0.017	38.28	13.76	1113.90	0.32	1.84	-0.15	
0.018	38.89	13.27	1113.20	0.32	1.84	-0.15	
0.019	38.45	13.36	1115.14	0.31	1.84	-0.15	
0.020	38.37	13.18	1114.08	0.31	1.84	-0.15	
0.021	38.89	12.87	1114.78	0.31	1.84	-0.15	
0.022	38.89	12.74	1114.96	0.30	1.84	-0.15	
0.023	38.37	11.86	1114.25	0.30	1.84	-0.15	
0.024	38.28	12.12	1115.14	0.30	1.84	-0.14	
0.025	38.28	12.48	1114.43	0.29	1.84	-0.14	
0.026	38.45	11.24	1114.96	0.29	1.84	-0.14	
0.027	38.10	11.82	1114.96	0.29	1.84	-0.14	
0.028	37.84	11.73	1115.14	0.28	1.84	-0.14	
0.029	36.87	11.51	1115.31	0.28	1.84	-0.13	
0.030	36.61	11.60	1115.14	0.28	1.84	-0.13	
0.031	36.96	10.32	1115.31	0.27	1.84	-0.13	
0.032	36.34	9.88	1114.25	0.27	1.84	-0.13	
0.033	36.17	10.45	1115.14	0.27	1.85	-0.13	
0.034	35.11	9.92	1115.31	0.27	1.85	-0.12	
0.035	34.67	9.70	1115.49	0.26	1.85	-0.12	
0.036	34.32	9.52	1115.31	0.26	1.85	-0.12	
0.037	34.14	8.55	1115.66	0.25	1.85	-0.12	
0.038	33.26	8.02	1115.14	0.25	1.85	-0.12	
0.039	33.62	7.23	1114.61	0.24	1.85	-0.11	
0.040	31.33	7.45	1114.78	0.24	1.86	-0.11	
0.041	31.86	7.58	1114.96	0.24	1.86	-0.11	
0.042	31.24	6.08	1115.31	0.23	1.86	-0.10	
0.043	30.71	5.11	1114.25	0.23	1.86	-0.10	
0.044	30.62	4.81	1114.78	0.23	1.86	-0.10	
0.045	29.22	3.75	1114.61	0.22	1.86	-0.09	
0.046	28.78	3.13	1114.61	0.21	1.87	-0.09	
0.047	28.16	2.91	1114.25	0.21	1.87	-0.09	
0.048	28.07	2.12	1114.78	0.20	1.87	-0.09	
0.049	26.75	1.76	1113.90	0.20	1.87	-0.08	
0.050	26.14	1.63	1113.90	0.19	1.88	-0.08	
0.051	25.61	0.44	1114.25	0.19	1.88	-0.08	
0.052	24.73	-0.35	1113.20	0.19	1.88	-0.07	
0.053	24.20	-0.62	1113.90	0.18	1.89	-0.07	
0.054	23.32	-1.94	1114.43	0.18	1.89	-0.07	
0.055	23.32	-2.69	1113.37	0.17	1.89	-0.06	
0.056	21.21	-2.56	1114.08	0.17	1.90	-0.06	
0.057	20.59	-3.84	1113.55	0.16	1.90	-0.06	
0.058	20.24	-3.79	1113.55	0.16	1.90	-0.06	
0.059	18.83	-4.72	1113.02	0.15	1.91	-0.05	
0.060	17.69	-6.08	1113.37	0.15	1.91	-0.05	
0.061	17.07	-5.73	1113.20	0.14	1.92	-0.05	
0.062	16.10	-7.01	1114.25	0.14	1.92	-0.04	
0.063	14.96	-6.57	1113.55	0.13	1.92	-0.04	
0.064	14.34	-7.80	1113.55	0.13	1.93	-0.04	
0.065	13.46	-9.21	1113.37	0.12	1.93	-0.04	
0.066	11.79	-8.69	1114.08	0.12	1.94	-0.03	
0.067	11.53	-9.79	1113.55	0.11	1.95	-0.03	
0.068	10.12	-10.32	1113.73	0.10	1.95	-0.03	
0.069	9.33	-11.07	1113.37	0.10	1.95	-0.02	
0.070	8.27	-11.46	1112.84	0.09	1.96	-0.02	
0.071	6.51	-12.08	1113.37	0.09	1.97	-0.01	
0.072	4.75	-12.74	1113.02	0.08	1.97	-0.01	
0.073	3.26	-14.20	1113.02	0.07	1.98	-0.01	
0.074	1.94	-14.46	1113.20	0.06	1.98	-0.01	
0.075	0.62	-15.52	1112.67	0.06	1.99	-0.00	
0.076	-1.14	-16.53	1113.37	0.05	2.00	0.00	
0.077	-2.99	-16.93	1113.02	0.05	2.01	0.01	
0.078	-5.19	-18.43	1112.67	0.04	2.01	0.01	
0.079	-6.42	-19.66	1113.20	0.04	2.02	0.01	
0.080	-8.27	-19.49	1113.90	0.03	2.03	0.02	
0.081	-9.86	-20.54	1113.37	0.03	2.03	0.02	
0.082	-11.79	-22.04	1114.43	0.03	2.04	0.02	
0.083	-13.11	-22.09	1114.61	0.02	2.05	0.03	
0.084	-14.70	-22.75	1114.61	0.02	2.05	0.03	
0.085	-15.49	-23.28	1115.49	0.01	2.06	0.03	
0.086	-17.42	-23.94	1115.66	0.01	2.07	0.04	
0.087	-19.10	-23.63	1116.02	0.01	2.07	0.04	
0.088	-19.45	-23.85	1117.07	0.00	2.08	0.04	
